DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,SAT Critical Readng Avg. Score,internal_school_id,contact_extension,pct_students_tested,academic_tier_rating
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392,406,937579,x234,N/A,
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,s,s,s,s,s,628368,,85%,
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,448,471,578072,x345,N/A,3
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413,441,760103,x123,N/A,1
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,359,365,257116,x123,78%,4
14K322,FOUNDATIONS ACADEMY,s,s,s,s,s,685517,x345,85%,
14K404,ACADEMY FOR YOUNG WRITERS,68,387,357,381,387,994723,x345,78%,
14K449,"BROOKLYN LATIN SCHOOL, THE",72,586,584,570,586,384706,x345,78%,2
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,396,407,806744,x234,N/A,3
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371,364,445223,x234,78%,4
14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,395,413,809381,x345,78%,1
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396,398,758599,x345,78%,4
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350,367,954096,x345,78%,4
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364,363,887022,x234,N/A,4
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380,397,515769,,85%,2
14K586,LYONS COMMUNITY SCHOOL,31,371,377,355,371,205730,,92%,1
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,350,367,168856,x123,85%,3
14K632,FRANCES PERKINS ACADEMY,12,382,372,368,382,770235,x345,78%,3
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341,359,688392,x345,92%,4
14K923,AUTOMOTIVE HIGH SCHOOL YABC,s,s,s,s,s,486066,x123,85%,
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,383,361,718798,x234,92%,1
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387,393,724775,x234,N/A,3
15K462,SECONDARY SCHOOL FOR LAW,59,398,411,394,398,637125,x123,N/A,3
15K463,SECONDARY SCHOOL FOR JOURNALISM,58,397,391,381,397,702205,x123,N/A,4
15K464,PARK SLOPE COLLEGIATE,72,379,416,380,379,681987,x345,85%,1
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,392,405,713236,x123,85%,4
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385,398,716876,,N/A,
15K520,PACIFIC HIGH SCHOOL,9,352,341,300,352,619586,x345,92%,4
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s,s,s,101855,x123,N/A,4
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,368,368,660911,x345,85%,4
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,999,411,426,642190,,N/A,
15K667,SUNSET PARK HIGH SCHOOL,s,s,s,s,s,355095,,N/A,
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425,430,203427,x345,92%,2
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,355,358,355,773581,x234,N/A,4
16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,362,365,573714,x123,78%,4
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,358,362,669948,x123,78%,2
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,372,351,370,147508,x123,N/A,2
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,s,s,s,s,521978,x345,85%,3
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,374,369,396,641887,x234,92%,4
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,351,352,770770,x234,85%,3
17K467,ERASMUS YABC,s,s,s,s,s,703472,,N/A,4
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334,394,974876,x123,85%,1
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291,287,753042,x234,85%,
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388,403,963941,x123,N/A,4
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359,348,626205,x123,85%,4
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,404,372,377,534601,x123,78%,4
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340,338,613892,x234,85%,1
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,368,362,513499,,78%,3
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441,457,999398,x345,85%,
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,391,369,386,637954,x234,78%,2
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,414,418,936098,x345,N/A,2
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373,388,364993,,85%,2
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,385,393,373,385,932462,,78%,1
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,335,372,641859,x345,85%,3
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479,476,761877,,78%,3
17K600,CLARA BARTON HIGH SCHOOL,259,425,413,413,425,876998,x345,85%,
17K625,PAUL ROBESON HIGH SCHOOL,53,365,363,355,365,976683,x234,92%,4
17K751,ACADEMY FOR HEALTH CAREERS,s,s,s,s,s,197845,x123,78%,1
18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330,313,418405,x345,85%,4
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394,374,912222,x123,N/A,1
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377,383,174472,x345,78%,1
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346,368,949243,x123,85%,2
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379,387,412625,x234,85%,3
18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351,384,440929,,92%,2
18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,359,361,238681,x234,N/A,
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386,404,927628,,78%,3
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381,393,827492,x345,85%,3
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393,386,969796,x234,N/A,3
18K635,OLYMPUS ACADEMY,7,400,370,370,400,314591,,85%,4
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367,363,483922,,78%,
18K642,URBAN ACTION ACADEMY,40,376,385,374,376,913691,,92%,2
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378,410,102816,x234,78%,2
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394,416,839838,x345,85%,2
19K420,FRANKLIN K. LANE HIGH SCHOOL,s,s,s,s,s,134918,,78%,3
19K431,THOMAS JEFFERSON YABC,s,s,s,s,s,194950,x345,92%,2
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333,341,608509,x345,78%,4
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342,363,653979,x234,85%,1
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383,380,785806,,N/A,1
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370,371,398688,x234,85%,3
19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286,279,122756,x345,78%,3
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380,395,132815,x234,78%,
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354,371,965429,x123,78%,4
19K639,BROOKLYN LAB SCHOOL,57,360,385,363,360,869608,x345,85%,1
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368,376,509280,x123,85%,1
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363,370,323270,x345,78%,4
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374,383,741399,x123,92%,4
20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399,402,364847,x123,85%,4
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424,425,938208,x234,N/A,4
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411,417,379833,x123,85%,1
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375,383,620218,x345,N/A,3
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s,s,s,263315,x123,78%,
20K658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316,338,361605,,78%,3
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314,326,795681,x345,85%,4
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,427,408,402,422310,x234,92%,4
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378,388,723511,x345,85%,4
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393,396,846740,x123,78%,2
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,s,s,s,s,s,411797,x123,78%,4
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,s,s,s,s,s,569504,x345,78%,3
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467,468,258009,x345,85%,1
21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390,404,475475,x345,92%,3
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365,384,274893,x234,92%,2
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356,353,185479,x345,78%,1
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376,394,192849,x345,N/A,1
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435,429,704701,x234,85%,2
21K728,LIBERATION DIPLOMA PLUS,10,411,369,373,411,502505,x123,85%,
22K405,MIDWOOD HIGH SCHOOL,824,478,519,476,478,332013,x234,N/A,
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439,436,327087,x234,92%,1
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,370,383,275480,x345,N/A,
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542,524,667336,x123,92%,2
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440,456,477867,x234,78%,4
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,409,387,389,638267,x345,85%,2
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359,361,735951,x234,85%,3
23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331,349,452120,x123,78%,2
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,371,311,311,160203,,78%,4
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332,350,719582,x345,78%,
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388,392,296255,x234,92%,1
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421,405,654836,,85%,
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400,406,554115,,85%,1
24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407,404,596521,x345,85%,4
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311,317,378878,,78%,1
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550,545,362876,x345,78%,
24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380,383,344317,x345,92%,4
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,s,s,s,s,s,814224,x234,92%,3
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396,395,900889,,78%,2
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385,399,902216,x345,N/A,3
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329,326,855084,x123,92%,4
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380,391,501780,x234,92%,2
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440,443,702975,x345,N/A,
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406,417,683431,x234,N/A,4
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423,445,777331,,92%,3
24Q744,VOYAGES PREPARATORY,s,s,s,s,s,120268,x234,85%,
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443,455,333672,x123,78%,3
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318,314,416654,x234,N/A,1
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392,416,208611,x234,N/A,1
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481,471,900895,x234,N/A,3
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395,397,636437,x345,78%,2
25Q460,FLUSHING HIGH SCHOOL,347,393,441,382,393,141602,x123,85%,1
25Q467,FLUSHING YABC,9,378,373,344,378,223328,x345,78%,4
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638,621,362526,x123,78%,1
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388,398,661632,,N/A,2
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441,431,591892,,92%,2
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377,379,847586,,78%,1
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489,480,375591,x123,78%,4
26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467,468,148605,x123,N/A,1
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384,391,152888,x345,78%,3
26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464,462,584531,x123,N/A,4
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420,425,150229,x234,85%,4
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373,387,216311,x123,85%,3
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401,432,968929,x234,78%,2
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364,391,292533,x345,85%,4
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416,423,676177,x345,N/A,4
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348,367,933051,,92%,
27Q323,SCHOLARS' ACADEMY,89,499,537,496,499,291769,x123,78%,3
27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360,377,691098,x234,78%,4
27Q410,BEACH CHANNEL HIGH SCHOOL,78,384,396,354,384,503694,x234,N/A,1
27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,368,382,156250,x345,78%,4
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,391,863765,,92%,1
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425,429,776444,x123,85%,3
28Q284,YORK EARLY COLLEGE ACADEMY,s,s,s,s,s,965048,x345,78%,4
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400,420,880835,x234,78%,4
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,s,s,s,s,s,267544,x345,92%,1
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,403,408,367,403,553915,x345,92%,4
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425,430,904223,x234,78%,2
28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,454,456,597825,x234,78%,1
28Q470,JAMAICA HIGH SCHOOL,90,342,999,353,342,587904,x234,92%,3
28Q505,HILLCREST HIGH SCHOOL,462,395,413,386,395,317746,x123,85%,2
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442,452,353160,x123,85%,2
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502,513,745665,x345,85%,1
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,s,s,s,s,s,973896,,78%,3
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596,612,936593,,92%,2
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384,406,216035,x234,N/A,4
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432,439,597664,x123,92%,1
29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,359,360,505363,x123,85%,
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375,401,231477,,92%,1
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402,402,268657,x123,85%,
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424,436,458826,x123,92%,2
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,1100,363,370,462173,x345,85%,3
29Q326,CAMBRIA HEIGHTS ACADEMY,s,s,s,s,s,666479,x123,78%,
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394,400,790855,x345,92%,
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377,385,245490,x123,85%,
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359,379,455709,x123,N/A,3
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377,393,341277,x123,78%,
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",s,s,s,s,s,336296,,78%,2
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405,410,515061,x123,78%,4
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412,414,894217,,85%,4
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395,403,352878,x345,92%,3
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494,504,794171,,92%,2
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398,407,730551,x345,N/A,4
30Q555,NEWCOMERS HIGH SCHOOL,143,323,475,329,323,305938,x123,78%,2
30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491,487,180221,x345,N/A,4
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544,524,595723,x345,78%,3
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450,452,654645,x345,92%,4
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385,398,140691,x123,92%,1
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466,472,844244,x123,N/A,1
31R440,NEW DORP HIGH SCHOOL,391,424,437,416,424,909567,x345,92%,1
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417,424,145678,x234,N/A,3
31R450,CURTIS HIGH SCHOOL,375,437,435,429,437,315495,x234,92%,4
31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470,462,308512,x123,92%,
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459,455,240660,x123,N/A,2
31R470,CONCORD HIGH SCHOOL,10,466,455,414,466,974386,,N/A,3
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397,416,730239,x234,85%,3
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636,635,739097,x123,N/A,2
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370,405,653176,x345,78%,1
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352,380,501650,x345,92%,
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88,384,409,361,384,221431,,85%,3
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334,348,954491,x234,85%,3
32K552,ACADEMY OF URBAN PLANNING,67,342,364,354,342,695572,x234,92%,3
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422,428,587220,,N/A,2
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350,347,658210,,92%,2
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358,359,898918,,92%,4
75K371,P.S. 371 s LILLIAN L. RASHKIS,s,s,s,s,s,240795,x234,85%,1
75M035,P.S. 035,s,s,s,s,s,861847,x123,N/A,4
75Q256,P.S. Q256,s,s,s,s,s,320205,x234,85%,1
75Q811,P.S. Q811,32,429,444,433,429,467937,x123,78%,1
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,s,s,s,s,s,789985,,78%,1
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,s,s,s,s,s,733698,x234,92%,1
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,s,s,s,s,s,976034,x345,N/A,4
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,s,s,s,s,s,556924,x123,85%,1
79Q950,GED PLUS s CITYWIDE,8,496,400,426,496,544514,x234,92%,2
79X490,PHOENIX ACADEMY,9,367,370,360,367,248647,x234,85%,
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341,359,688392,x345,92%,4
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392,406,937579,x234,N/A,
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,391,863765,,92%,1
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348,364,277389,x345,92%,
19K420,FRANKLIN K. LANE HIGH SCHOOL,s,s,s,s,s,134918,,78%,3
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388,384,906925,x234,92%,1
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,407,892839,,92%,2
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441,457,999398,x345,85%,
02M419,LANDMARK HIGH SCHOOL,62,390,399,381,390,166135,x123,78%,2
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398,413,296405,x123,78%,2
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,391,863765,,92%,1
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392,406,937579,x234,N/A,
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398,413,296405,x123,78%,2
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,407,892839,,92%,2
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348,364,277389,x345,92%,
