"dbn","school_name","num_of_sat_test_takers","sat_critical_reading_avg_score","sat_math_avg_score","sat_writing_avg_score","internal_school_id","pct_students_tested","academic_tier_rating"
"17K548","BROOKLYN SCHOOL FOR MUSIC & THEATRE","48","385","393","373","932462","0.78","1"
"17K568","BROWNSVILLE ACADEMY HIGH SCHOOL","16","372","356","335","641859","0.85","3"
"17K590","MEDGAR EVERS COLLEGE PREPARATORY SCHOOL","165","476","481","479","761877","0.78","3"
"17K600","CLARA BARTON HIGH SCHOOL","259","425","413","413","876998","0.85",""
"17K625","PAUL ROBESON HIGH SCHOOL","53","365","363","355","976683","0.92","4"
"18K563","IT TAKES A VILLAGE ACADEMY","56","313","320","330","418405","0.85","4"
"18K566","BROOKLYN GENERATION SCHOOL","29","374","377","394","912222","0","1"
"18K567","BROOKLYN THEATRE ARTS HIGH SCHOOL","54","383","358","377","174472","0.78","1"
"18K569","KURT HAHN EXPEDITIONARY LEARNING SCHOOL","43","368","378","346","949243","0.85","2"
"18K576","VICTORY COLLEGIATE HIGH SCHOOL","63","387","377","379","412625","0.85","3"
"18K578","BROOKLYN BRIDGE ACADEMY","17","384","362","351","440929","0.92","2"
"18K589","ARTS & MEDIA PREPARATORY ACADEMY","48","361","360","359","238681","0",""
"18K617","HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA","37","404","393","386","927628","0.78","3"
"18K629","CULTURAL ACADEMY FOR THE ARTS AND SCIENCES","33","393","395","381","827492","0.85","3"
"18K633","HIGH SCHOOL FOR MEDICAL PROFESSIONS","75","386","380","393","969796","0","3"
"18K635","OLYMPUS ACADEMY","7","400","370","370","314591","0.85","4"
"18K637","ACADEMY FOR CONSERVATION AND THE ENVIRONMENT","35","363","381","367","483922","0.78",""
"18K642","URBAN ACTION ACADEMY","40","376","385","374","913691","0.92","2"
"18K673","EAST BROOKLYN COMMUNITY HIGH SCHOOL","12","410","403","378","102816","0.78","2"
"19K409","EAST NEW YORK FAMILY ACADEMY","54","416","432","394","839838","0.85","2"
"19K502","FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY","37","341","349","333","608509","0.78","4"
"19K504","HIGH SCHOOL FOR CIVIL RIGHTS","47","363","349","342","653979","0.85","1"
"19K507","PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL","61","380","386","383","785806","0","1"
"19K510","WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL","68","371","365","370","398688","0.85","3"
"19K583","MULTICULTURAL HIGH SCHOOL","29","279","322","286","122756","0.78","3"
"19K615","TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","182","395","418","380","132815","0.78",""
"19K618","ACADEMY OF INNOVATIVE TECHNOLOGY","60","371","371","354","965429","0.78","4"
"19K639","BROOKLYN LAB SCHOOL","57","360","385","363","869608","0.85","1"
"19K659","CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL","51","376","385","368","509280","0.85","1"
"19K660","W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","74","370","369","363","323270","0.78","4"
"19K683","THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS","38","383","400","374","741399","0.92","4"
"20K445","NEW UTRECHT HIGH SCHOOL","456","402","471","399","364847","0.85","4"
"20K485","HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY","238","425","474","424","938208","0","4"
"20K490","FORT HAMILTON HIGH SCHOOL","694","417","478","411","379833","0.85","1"
"20K505","FRANKLIN DELANO ROOSEVELT HIGH SCHOOL","385","383","486","375","620218","0","3"
"21K337","INTERNATIONAL HIGH SCHOOL AT LAFAYETTE","54","326","386","314","795681","0.85","4"
"21K344","RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES","54","402","427","408","422310","0.92","4"
"21K348","HIGH SCHOOL OF SPORTS MANAGEMENT","39","388","398","378","723511","0.85","4"
"21K410","ABRAHAM LINCOLN HIGH SCHOOL","475","396","437","393","846740","0.78","2"
"21K525","EDWARD R. MURROW HIGH SCHOOL","727","468","496","467","258009","0.85","1"
"21K540","JOHN DEWEY HIGH SCHOOL","448","404","468","390","475475","0.92","3"
"21K559","LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC","40","384","375","365","274893","0.92","2"
"21K572","EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS","40","353","370","356","185479","0.78","1"
"21K620","WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","95","394","414","376","192849","0","1"
"21K690","BROOKLYN STUDIO SECONDARY SCHOOL","119","429","449","435","704701","0.85","2"
"21K728","LIBERATION DIPLOMA PLUS","10","411","369","373","502505","0.85",""
"22K405","MIDWOOD HIGH SCHOOL","824","478","519","476","332013","0",""
"22K425","JAMES MADISON HIGH SCHOOL","518","436","475","439","327087","0.92","1"
"22K495","SHEEPSHEAD BAY HIGH SCHOOL","236","383","392","370","275480","0",""
"22K535","LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES","259","524","561","542","667336","0.92","2"
"22K555","BROOKLYN COLLEGE ACADEMY","131","456","456","440","477867","0.78","4"
"23K493","BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL","60","389","409","387","638267","0.85","2"
"23K514","FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL","55","361","371","359","735951","0.85","3"
"23K643","BROOKLYN DEMOCRACY ACADEMY","11","349","338","331","452120","0.78","2"
"23K646","ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL","7","311","371","311","160203","0.78","4"
"23K647","METROPOLITAN DIPLOMA PLUS HIGH SCHOOL","17","350","346","332","719582","0.78",""
"23K697","TEACHERS PREPARATORY HIGH SCHOOL","69","392","416","388","296255","0.92","1"
"24Q264","ACADEMY OF FINANCE AND ENTERPRISE","89","405","454","421","654836","0.85",""
"24Q267","HIGH SCHOOL OF APPLIED COMMUNICATION","39","406","413","400","554115","0.85","1"
"24Q293","CIVIC LEADERSHIP ACADEMY","69","404","429","407","596521","0.85","4"
"24Q296","PAN AMERICAN INTERNATIONAL HIGH SCHOOL","55","317","323","311","378878","0.78","1"
"24Q299","BARD HIGH SCHOOL EARLY COLLEGE II","155","545","568","550","362876","0.78",""
"24Q455","NEWTOWN HIGH SCHOOL","320","383","440","380","344317","0.92","4"
"24Q485","GROVER CLEVELAND HIGH SCHOOL","241","395","420","396","900889","0.78","2"
"24Q520","MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE","58","399","393","385","902216","0","3"
"24Q530","INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE","69","326","409","329","855084","0.92","4"
"24Q550","HIGH SCHOOL FOR ARTS AND BUSINESS","138","391","403","380","501780","0.92","2"
"24Q560","ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY","80","443","447","440","702975","0",""
"24Q600","QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL","155","417","447","406","683431","0","4"
"24Q610","AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL","396","445","496","423","777331","0.92","3"
"25Q252","QUEENS SCHOOL OF INQUIRY, THE","58","455","498","443","333672","0.78","3"
"25Q263","FLUSHING INTERNATIONAL HIGH SCHOOL","45","314","417","318","416654","0","1"
"25Q281","EASTsWEST SCHOOL OF INTERNATIONAL STUDIES","59","416","463","392","208611","0","1"
"25Q285","WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL","63","471","489","481","900895","0","3"
"25Q425","JOHN BOWNE HIGH SCHOOL","558","397","451","395","636437","0.78","2"
"25Q460","FLUSHING HIGH SCHOOL","347","393","441","382","141602","0.85","1"
"25Q467","FLUSHING YABC","9","378","373","344","223328","0.78","4"
"25Q525","TOWNSEND HARRIS HIGH SCHOOL","278","621","651","638","362526","0.78","1"
"25Q540","QUEENS ACADEMY HIGH SCHOOL","17","398","382","388","661632","0","2"
"25Q670","ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL","99","431","458","441","591892","0.92","2"
"25Q792","NORTH QUEENS COMMUNITY HIGH SCHOOL","7","379","421","377","847586","0.78","1"
"26Q415","BENJAMIN N. CARDOZO HIGH SCHOOL","888","480","545","489","375591","0.78","4"
"26Q430","FRANCIS LEWIS HIGH SCHOOL","934","468","539","467","148605","0","1"
"26Q435","MARTIN VAN BUREN HIGH SCHOOL","334","391","397","384","152888","0.78","3"
"26Q495","BAYSIDE HIGH SCHOOL","708","462","523","464","584531","0","4"
"26Q566","QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES","175","425","434","420","150229","0.85","4"
"27Q260","FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL","87","387","385","373","216311","0.85","3"
"27Q262","CHANNEL VIEW SCHOOL FOR RESEARCH","74","432","419","401","968929","0.78","2"
"27Q302","QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY","44","391","401","364","292533","0.85","4"
"27Q308","ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY","93","423","426","416","676177","0","4"
"27Q309","ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL","36","367","379","348","933051","0.92",""
"27Q323","SCHOLARS' ACADEMY","89","499","537","496","291769","0.78","3"
"27Q400","AUGUST MARTIN HIGH SCHOOL","101","377","371","360","691098","0.78","4"
"27Q410","BEACH CHANNEL HIGH SCHOOL","78","384","396","354","503694","0","1"
"27Q475","RICHMOND HILL HIGH SCHOOL","404","382","404","368","156250","0.78","4"
"27Q480","JOHN ADAMS HIGH SCHOOL","403","391","409","392","863765","0.92","1"
"27Q650","HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE","194","429","491","425","776444","0.85","3"
"28Q310","QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL","68","420","445","400","880835","0.78","4"
"28Q338","QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY","6","403","408","367","553915","0.92","4"
"28Q350","JAMAICA GATEWAY TO THE SCIENCES","25","430","452","425","904223","0.78","2"
"28Q440","FOREST HILLS HIGH SCHOOL","762","456","497","454","597825","0.78","1"
"28Q505","HILLCREST HIGH SCHOOL","462","395","413","386","317746","0.85","2"
"28Q620","THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","422","452","478","442","353160","0.85","2"
"28Q680","QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL","99","513","523","502","745665","0.85","1"
"28Q687","QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE","121","612","660","596","936593","0.92","2"
"28Q690","HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY","74","406","406","384","216035","0","4"
"28Q896","YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS","68","439","445","432","597664","0.92","1"
"29Q248","QUEENS PREPARATORY ACADEMY","52","360","380","359","505363","0.85",""
"29Q259","PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL","46","401","397","375","231477","0.92","1"
"29Q265","EXCELSIOR PREPARATORY HIGH SCHOOL","49","402","398","402","268657","0.85",""
"29Q272","GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES","59","436","427","424","458826","0.92","2"
"29Q492","MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL","78","400","426","394","790855","0.92",""
"29Q494","LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL","52","385","377","377","245490","0.85",""
"29Q496","BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL","49","379","414","359","455709","0","3"
"29Q498","HUMANITIES & ARTS MAGNET HIGH SCHOOL","62","393","381","377","341277","0.78",""
"30Q301","ACADEMY FOR CAREERS IN TELEVISION AND FILM","98","410","440","405","515061","0.78","4"
"30Q445","WILLIAM CULLEN BRYANT HIGH SCHOOL","395","414","449","412","894217","0.85","4"
"30Q450","LONG ISLAND CITY HIGH SCHOOL","392","403","420","395","352878","0.92","3"
"30Q501","FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL","174","504","496","494","794171","0.92","2"
"30Q502","INFORMATION TECHNOLOGY HIGH SCHOOL","148","407","434","398","730551","0","4"
"30Q555","NEWCOMERS HIGH SCHOOL","143","323","475","329","305938","0.78","2"
"30Q575","ACADEMY OF AMERICAN STUDIES","135","487","492","491","180221","0","4"
"30Q580","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION","61","524","568","544","595723","0.78","3"
"31R047","CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES","137","452","451","450","654645","0.92","4"
"31R064","GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL","61","398","412","385","140691","0.92","1"
"31R080","THE MICHAEL J. PETRIDES SCHOOL","107","472","488","466","844244","0","1"
"31R440","NEW DORP HIGH SCHOOL","391","424","437","416","909567","0.92","1"
"31R445","PORT RICHMOND HIGH SCHOOL","271","424","438","417","145678","0","3"
"31R450","CURTIS HIGH SCHOOL","375","437","435","429","315495","0.92","4"
"31R455","TOTTENVILLE HIGH SCHOOL","807","462","486","470","308512","0.92",""
"31R460","SUSAN E. WAGNER HIGH SCHOOL","535","455","474","459","240660","0","2"
"31R470","CONCORD HIGH SCHOOL","10","466","455","414","974386","0","3"
"31R600","RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","94","416","422","397","730239","0.85","3"
"31R605","STATEN ISLAND TECHNICAL HIGH SCHOOL","227","635","682","636","739097","0","2"
"31R607","YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS","10","405","375","370","653176","0.78","1"
"32K403","ACADEMY FOR ENVIRONMENTAL LEADERSHIP","50","380","366","352","501650","0.92",""
"32K545","EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK","88","384","409","361","221431","0.85","3"
"32K549","BUSHWICK SCHOOL FOR SOCIAL JUSTICE","75","348","353","334","954491","0.85","3"
"32K552","ACADEMY OF URBAN PLANNING","67","342","364","354","695572","0.92","3"
"32K554","ALL CITY LEADERSHIP SECONDARY SCHOOL","39","428","465","422","587220","0","2"
"32K556","BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE","23","347","358","350","658210","0.92","2"
"32K564","BUSHWICK COMMUNITY HIGH SCHOOL","24","359","317","358","898918","0.92","4"
"75Q811","P.S. Q811","32","429","444","433","467937","0.78","1"
"79Q950","GED PLUS s CITYWIDE","8","496","400","426","544514","0.92","2"
"79X490","PHOENIX ACADEMY","9","367","370","360","248647","0.85",""
"14K685","EL PUENTE ACADEMY FOR PEACE AND JUSTICE","28","359","335","341","688392","0.92","4"
"13K605","GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","85","406","391","392","937579","0",""
"27Q480","JOHN ADAMS HIGH SCHOOL","403","391","409","392","863765","0.92","1"
"07X221","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL","65","364","378","348","277389","0.92",""
"09X525","BRONX LEADERSHIP ACADEMY HIGH SCHOOL","114","384","394","388","906925","0.92","1"
"02M520","MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS","264","407","440","393","892839","0.92","2"
"17K543","SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS","69","457","462","441","999398","0.85",""
"02M419","LANDMARK HIGH SCHOOL","62","390","399","381","166135","0.78","2"
"05M304","MOTT HALL HIGH SCHOOL","54","413","399","398","296405","0.78","2"
"27Q480","JOHN ADAMS HIGH SCHOOL","403","391","409","392","863765","0.92","1"
"13K605","GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","85","406","391","392","937579","0",""
"05M304","MOTT HALL HIGH SCHOOL","54","413","399","398","296405","0.78","2"
"02M520","MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS","264","407","440","393","892839","0.92","2"
"07X221","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL","65","364","378","348","277389","0.92",""
