dbn,school_name,num_test_takers,sat_reading,sat_math,sat_writing,academic_tier_rating
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333,4
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342,1
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383,1
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370,3
19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286,3
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380,
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354,4
19K639,BROOKLYN LAB SCHOOL,57,360,385,363,1
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368,1
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363,4
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374,4
20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399,4
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424,4
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411,1
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375,3
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,,,,,
20K658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316,3
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314,4
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,427,408,4
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378,4
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393,2
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,,,,,4
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,,,,,3
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467,1
21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390,3
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365,2
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356,1
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376,1
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435,2
21K728,LIBERATION DIPLOMA PLUS,10,411,369,373,
22K405,MIDWOOD HIGH SCHOOL,824,478,519,476,
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439,1
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,370,
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542,2
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440,4
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,409,387,2
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359,3
23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331,2
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,371,311,4
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332,
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388,1
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421,
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400,1
24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407,4
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311,1
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550,
24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380,4
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,,,,,3
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396,2
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385,3
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329,4
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380,2
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440,
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406,4
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423,3
24Q744,VOYAGES PREPARATORY,,,,,
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443,3
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318,1
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392,1
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481,3
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395,2
25Q460,FLUSHING HIGH SCHOOL,347,393,441,382,1
25Q467,FLUSHING YABC,9,378,373,344,4
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638,1
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388,2
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441,2
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377,1
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489,4
26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467,1
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384,3
26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464,4
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420,4
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373,3
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401,2
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364,4
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416,4
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348,
27Q323,SCHOLARS' ACADEMY,89,499,537,496,3
27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360,4
27Q410,BEACH CHANNEL HIGH SCHOOL,78,384,396,354,1
27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,368,4
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,1
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425,3
28Q284,YORK EARLY COLLEGE ACADEMY,,,,,4
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400,4
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,,,,,1
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,403,408,367,4
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425,2
28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,454,1
28Q470,JAMAICA HIGH SCHOOL,90,342,,353,3
28Q505,HILLCREST HIGH SCHOOL,462,395,413,386,2
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442,2
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502,1
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,,,,,3
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596,2
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384,4
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432,1
29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,359,
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375,1
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402,
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424,2
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,,363,3
29Q326,CAMBRIA HEIGHTS ACADEMY,,,,,
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394,
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377,
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359,3
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377,
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",,,,,2
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405,4
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412,4
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395,3
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494,2
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398,4
30Q555,NEWCOMERS HIGH SCHOOL,143,323,475,329,2
30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491,4
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544,3
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450,4
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385,1
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466,1
31R440,NEW DORP HIGH SCHOOL,391,424,437,416,1
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417,3
31R450,CURTIS HIGH SCHOOL,375,437,435,429,4
31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470,
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459,2
31R470,CONCORD HIGH SCHOOL,10,466,455,414,3
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397,3
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636,2
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370,1
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352,
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88,384,409,361,3
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334,3
32K552,ACADEMY OF URBAN PLANNING,67,342,364,354,3
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422,2
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350,2
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358,4
75K371,P.S. 371 s LILLIAN L. RASHKIS,,,,,1
75M035,P.S. 035,,,,,4
75Q256,P.S. Q256,,,,,1
75Q811,P.S. Q811,32,429,444,433,1
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,,,,,1
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,,,,,1
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,,,,,4
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,,,,,1
79Q950,GED PLUS s CITYWIDE,8,496,400,426,2
79X490,PHOENIX ACADEMY,9,367,370,360,
